Time,BicepsBrachiiR
20.6711,-1.23E-05
20.67162,-1.53E-05
20.67213,-1.56E-05
20.67265,-1.04E-05
20.67317,-6.38E-06
20.67369,-7.55E-06
20.67421,-6.88E-06
20.67473,1.68E-07
20.67525,1.06E-05
20.67577,2.20E-05
20.67629,3.04E-05
20.67681,3.69E-05
20.67733,4.05E-05
20.67785,4.01E-05
20.67837,3.91E-05
20.67888,4.11E-05
20.6794,4.62E-05
20.67992,5.14E-05
20.68044,5.27E-05
20.68096,4.88E-05
20.68148,4.38E-05
20.682,3.94E-05
20.68252,3.17E-05
20.68304,2.18E-05
20.68356,1.38E-05
20.68408,1.06E-05
20.6846,1.33E-05
20.68512,1.78E-05
20.68563,2.20E-05
20.68615,2.67E-05
20.68667,3.04E-05
20.68719,3.21E-05
20.68771,3.07E-05
20.68823,2.67E-05
20.68875,2.69E-05
20.68927,3.19E-05
20.68979,3.56E-05
20.69031,3.59E-05
20.69083,3.54E-05
20.69135,3.54E-05
20.69187,3.58E-05
20.69238,3.83E-05
20.6929,4.08E-05
20.69342,4.01E-05
20.69394,3.73E-05
20.69446,3.29E-05
20.69498,3.11E-05
20.6955,3.24E-05
20.69602,3.00E-05
20.69654,2.05E-05
20.69706,7.89E-06
20.69758,-1.17E-06
20.6981,-6.88E-06
20.69862,-1.38E-05
20.69913,-1.71E-05
20.69965,-9.74E-06
20.70017,6.55E-06
20.70069,2.37E-05
20.70121,3.39E-05
20.70173,3.51E-05
20.70225,3.00E-05
20.70277,2.57E-05
20.70329,2.45E-05
20.70381,2.27E-05
20.70433,2.20E-05
20.70485,2.64E-05
20.70537,3.37E-05
20.70588,3.91E-05
20.7064,4.05E-05
20.70692,3.88E-05
20.70744,3.51E-05
20.70796,2.80E-05
20.70848,2.32E-05
20.709,2.25E-05
20.70952,2.48E-05
20.71004,2.70E-05
20.71056,2.53E-05
20.71108,2.33E-05
20.7116,2.33E-05
20.71212,2.33E-05
20.71264,2.33E-05
20.71315,2.43E-05
20.71367,2.57E-05
20.71419,2.60E-05
20.71471,2.50E-05
20.71523,2.13E-05
20.71575,1.53E-05
20.71627,9.74E-06
20.71679,7.22E-06
20.71731,6.55E-06
20.71783,9.23E-06
20.71835,1.70E-05
20.71887,2.85E-05
20.71939,3.88E-05
20.7199,4.31E-05
20.72042,4.23E-05
20.72094,3.94E-05
20.72146,3.71E-05
20.72198,3.52E-05
20.7225,3.47E-05
20.72302,3.37E-05
20.72354,3.24E-05
20.72406,3.14E-05
20.72458,3.11E-05
20.7251,3.05E-05
20.72562,2.87E-05
20.72614,2.52E-05
20.72665,2.06E-05
20.72717,1.80E-05
20.72769,1.98E-05
20.72821,2.79E-05
20.72873,4.01E-05
20.72925,5.09E-05
20.72977,5.59E-05
20.73029,5.54E-05
20.73081,5.35E-05
20.73133,5.15E-05
20.73185,4.92E-05
20.73237,4.68E-05
20.73289,4.63E-05
20.7334,4.62E-05
20.73392,4.28E-05
20.73444,3.64E-05
20.73496,2.57E-05
20.73548,1.39E-05
20.736,4.87E-06
20.73652,-8.39E-07
20.73704,-3.19E-06
20.73756,-1.51E-06
20.73808,5.87E-06
20.7386,1.70E-05
20.73911,2.58E-05
20.73964,3.00E-05
20.74015,3.16E-05
20.74067,3.12E-05
20.74119,2.97E-05
20.74171,2.94E-05
20.74223,2.89E-05
20.74275,2.74E-05
20.74327,2.60E-05
20.74379,2.40E-05
20.74431,2.11E-05
20.74483,1.86E-05
20.74535,1.68E-05
20.74586,1.56E-05
20.74639,1.46E-05
20.7469,1.39E-05
20.74742,1.23E-05
20.74794,7.72E-06
20.74846,2.01E-06
20.74898,1.68E-07
20.7495,3.52E-06
20.75002,5.71E-06
20.75054,5.20E-06
20.75106,5.87E-06
20.75158,1.02E-05
20.7521,1.73E-05
20.75261,2.67E-05
20.75314,3.81E-05
20.75365,4.99E-05
20.75417,5.66E-05
20.75469,5.79E-05
20.75521,5.72E-05
20.75573,5.47E-05
20.75625,4.88E-05
20.75677,3.94E-05
20.75729,3.00E-05
20.75781,2.52E-05
20.75833,2.37E-05
20.75885,2.06E-05
20.75937,1.09E-05
20.75989,-6.38E-06
20.7604,-3.14E-05
20.76092,-6.40E-05
20.76144,-0.000103059
20.76196,-0.000146868
20.76248,-0.000176577
20.763,-0.000166171
20.76352,-0.000109102
20.76404,-1.96E-05
20.76456,7.50E-05
20.76508,0.000147875
20.7656,0.00018967
20.76612,0.000202594
20.76663,0.000194873
20.76715,0.00017641
20.76767,0.000154254
20.76819,0.00013109
20.76871,0.00010927
20.76923,8.66E-05
20.76975,6.56E-05
