Time,C7[0],C7[1],C7[2],C7[3],CLAV[0],CLAV[1],CLAV[2],CLAV[3],LANK[0],LANK[1],LANK[2],LANK[3],LASI[0],LASI[1],LASI[2],LASI[3],LBHD[0],LBHD[1],LBHD[2],LBHD[3],LELB[0],LELB[1],LELB[2],LELB[3],LFHD[0],LFHD[1],LFHD[2],LFHD[3],LFIN[0],LFIN[1],LFIN[2],LFIN[3],LFRM[0],LFRM[1],LFRM[2],LFRM[3],LHEE[0],LHEE[1],LHEE[2],LHEE[3],LKNE[0],LKNE[1],LKNE[2],LKNE[3],LPSI[0],LPSI[1],LPSI[2],LPSI[3],LSHO[0],LSHO[1],LSHO[2],LSHO[3],LTHI[0],LTHI[1],LTHI[2],LTHI[3],LTIB[0],LTIB[1],LTIB[2],LTIB[3],LTOE[0],LTOE[1],LTOE[2],LTOE[3],LUPA[0],LUPA[1],LUPA[2],LUPA[3],LWRA[0],LWRA[1],LWRA[2],LWRA[3],LWRB[0],LWRB[1],LWRB[2],LWRB[3],RANK[0],RANK[1],RANK[2],RANK[3],RASI[0],RASI[1],RASI[2],RASI[3],RBAK[0],RBAK[1],RBAK[2],RBAK[3],RBHD[0],RBHD[1],RBHD[2],RBHD[3],RELB[0],RELB[1],RELB[2],RELB[3],RFHD[0],RFHD[1],RFHD[2],RFHD[3],RFIN[0],RFIN[1],RFIN[2],RFIN[3],RFRM[0],RFRM[1],RFRM[2],RFRM[3],RHEE[0],RHEE[1],RHEE[2],RHEE[3],RKNE[0],RKNE[1],RKNE[2],RKNE[3],RPSI[0],RPSI[1],RPSI[2],RPSI[3],RSHO[0],RSHO[1],RSHO[2],RSHO[3],RTHI[0],RTHI[1],RTHI[2],RTHI[3],RTIB[0],RTIB[1],RTIB[2],RTIB[3],RTOE[0],RTOE[1],RTOE[2],RTOE[3],RUPA[0],RUPA[1],RUPA[2],RUPA[3],RWRA[0],RWRA[1],RWRA[2],RWRA[3],RWRB[0],RWRB[1],RWRB[2],RWRB[3],STRN[0],STRN[1],STRN[2],STRN[3],T10[0],T10[1],T10[2],T10[3]
0,-0.372064084,2.158690214,1.426071405,1,-0.38820076,1.993111253,1.361693501,1,-0.236840129,2.142401934,0.061549261,1,-0.297653586,1.928545237,0.894851506,1,-0.296458393,2.141798496,1.596665621,1,-0.121655904,1.98824811,1.087564111,1,-0.286727369,2.031380892,1.629671574,1,-0.20749554,1.877224565,0.758568525,1,-0.135719121,1.954380393,0.981609941,1,-0.295377851,2.193692684,0.008436757,1,-0.204208553,2.074087858,0.448400199,1,-0.331886202,2.136424303,0.945314467,1,-0.195142999,2.039895296,1.391217351,1,-0.203810662,2.054247141,0.583863318,1,-0.188860908,2.11691165,0.253971815,1,-0.255072415,1.989998102,0.026736548,1,-0.116821632,2.032287836,1.20062077,1,-0.230173349,1.914551377,0.84515959,1,-0.145211697,1.955001116,0.838288486,1,-0.549017787,2.181493282,0.052620478,1,-0.531791866,1.948969483,0.89534682,1,-0.476336062,2.206784725,1.306708336,1,-0.452214569,2.155316114,1.591755509,1,-0.661646128,2.072698593,1.087604523,1,-0.472532779,2.034836292,1.618161082,1,-0.655575633,1.996173739,0.740783751,1,-0.669877768,2.044691324,0.959297836,1,-0.474426985,2.206163883,0.010798741,1,-0.583020747,2.071582079,0.446824074,1,-0.44225198,2.145528316,0.943414032,1,-0.569701195,2.097864151,1.391196012,1,-0.592735767,2.012723446,0.711638987,1,-0.583708286,2.136066675,0.175956085,1,-0.578251421,2.02802968,0.029593978,1,-0.641945064,2.103471756,1.215427041,1,-0.594084144,2.003495693,0.824222147,1,-0.679429114,2.055289268,0.834989309,1,-0.399877489,1.929933667,1.19546032,1,-0.36859262,2.19017601,1.207872152,1
0.02,-0.372324795,2.158548594,1.426146746,1,-0.388105869,1.993067145,1.361509919,1,-0.23684673,2.142427206,0.06155118,1,-0.297459662,1.928810596,0.894808829,1,-0.296651781,2.141913414,1.596597433,1,-0.121429987,1.989096999,1.087377548,1,-0.28649798,2.031557798,1.629576802,1,-0.207040295,1.877684712,0.758529186,1,-0.13542822,1.955159664,0.981497407,1,-0.295390397,2.19369173,0.008440147,1,-0.204160303,2.074257135,0.448382586,1,-0.331949174,2.136625051,0.945305943,1,-0.195112512,2.040411234,1.391084552,1,-0.203679159,2.054531574,0.583817422,1,-0.188853875,2.116991282,0.253962994,1,-0.25506857,1.989936471,0.026753087,1,-0.116786353,2.033121586,1.200530529,1,-0.229778811,1.915080547,0.845122159,1,-0.145056576,1.955756187,0.83816582,1,-0.54899925,2.181477547,0.052581377,1,-0.531609595,1.948934436,0.895297348,1,-0.4766123,2.20660758,1.306755662,1,-0.452618688,2.154850006,1.59188199,1,-0.661554396,2.072102785,1.087492585,1,-0.472310752,2.034286499,1.618318081,1,-0.655172229,1.995596528,0.740749776,1,-0.669628024,2.044009209,0.959213436,1,-0.474453568,2.206165075,0.010814842,1,-0.583016694,2.071504831,0.446778983,1,-0.442340672,2.14557457,0.943426192,1,-0.569864035,2.097441196,1.391075134,1,-0.592705488,2.012591124,0.71159929,1,-0.583725989,2.136033058,0.175963759,1,-0.578249753,2.02803731,0.029600408,1,-0.641910315,2.102874756,1.215332627,1,-0.593731999,2.002915144,0.824137688,1,-0.67926085,2.054555893,0.8348822,1,-0.399617642,1.930063128,1.195310235,1,-0.36884138,2.190179586,1.207982183,1
0.04,-0.372572303,2.158476353,1.426195741,1,-0.388030618,1.993052959,1.361380339,1,-0.236831814,2.142421961,0.061539914,1,-0.297301054,1.929040194,0.89474988,1,-0.297098279,2.141699076,1.596387625,1,-0.121279471,1.989987135,1.08727479,1,-0.286280572,2.031644821,1.629469395,1,-0.20654732,1.878276587,0.758412659,1,-0.13516739,1.95605588,0.981366694,1,-0.294928163,2.19399333,0.008515319,1,-0.204146296,2.074390411,0.448335648,1,-0.331991136,2.136813641,0.945331931,1,-0.195126429,2.040869474,1.390951037,1,-0.203590244,2.054766417,0.583762646,1,-0.188938424,2.117043972,0.253873914,1,-0.255068809,1.989996433,0.026740795,1,-0.116777502,2.033874035,1.200412512,1,-0.229402184,1.915612698,0.845014989,1,-0.144761249,1.9565382,0.838078737,1,-0.54899317,2.18150568,0.052590936,1,-0.531477809,1.948911548,0.895204544,1,-0.476858675,2.206400633,1.30678153,1,-0.452844381,2.154410362,1.592029572,1,-0.661428809,2.071513414,1.087365031,1,-0.47211951,2.033742666,1.61843431,1,-0.654769659,1.994994879,0.740644276,1,-0.669307113,2.043391228,0.959023893,1,-0.47443673,2.206175566,0.010795044,1,-0.583003283,2.07148695,0.44674474,1,-0.442415178,2.145636082,0.943421304,1,-0.569959998,2.097116947,1.390959978,1,-0.592709005,2.013079166,0.711314619,1,-0.583747923,2.136018038,0.175936371,1,-0.578248322,2.028033257,0.02959126,1,-0.641962469,2.102378368,1.215193987,1,-0.593340039,2.002462387,0.824000835,1,-0.679058492,2.053923368,0.834721923,1,-0.399414867,1.930216551,1.195170999,1,-0.369101346,2.19020319,1.208077788,1
0.06,-0.372828692,2.158364534,1.426263571,1,-0.387938827,1.993045211,1.361237168,1,-0.236833557,2.142442703,0.061531473,1,-0.297164768,1.92927897,0.894697249,1,-0.296951085,2.142004967,1.596573591,1,-0.121128291,1.990815759,1.087143898,1,-0.286020488,2.031644821,1.629347324,1,-0.205957472,1.879116774,0.758198977,1,-0.134945258,1.956889629,0.981217086,1,-0.295411736,2.193687677,0.008426736,1,-0.204104543,2.074530602,0.448320746,1,-0.332082272,2.136944056,0.945379555,1,-0.195127189,2.041210175,1.390847564,1,-0.203493223,2.054955482,0.583719611,1,-0.188831598,2.117113829,0.253919333,1,-0.255072504,1.990000606,0.026744151,1,-0.116775863,2.034645319,1.200285316,1,-0.229022041,1.91633153,0.84481287,1,-0.144556865,1.957356095,0.837989092,1,-0.549024284,2.181515932,0.052579481,1,-0.53136003,1.948855996,0.89511776,1,-0.477069825,2.206167221,1.306736588,1,-0.453002483,2.154004335,1.592234135,1,-0.661332548,2.071007967,1.087141395,1,-0.471906662,2.03321743,1.618509293,1,-0.654308975,1.994476914,0.740477264,1,-0.669020236,2.042866945,0.958789289,1,-0.474471092,2.206186056,0.010789123,1,-0.582997561,2.071465492,0.446729213,1,-0.442514211,2.145655394,0.943425059,1,-0.570041001,2.09685564,1.390791535,1,-0.59257704,2.012910128,0.711275101,1,-0.583733618,2.1360116,0.175936177,1,-0.578239024,2.028030634,0.02959099,1,-0.641978383,2.101979494,1.215000629,1,-0.592946351,2.002101898,0.823867023,1,-0.678873599,2.053314447,0.834565818,1,-0.399242997,1.930353522,1.195043802,1,-0.36933288,2.190281153,1.20817852,1
0.08,-0.373037964,2.158324242,1.426281452,1,-0.387857795,1.993083596,1.361085176,1,-0.236817002,2.142435074,0.061543316,1,-0.297017694,1.929452419,0.894637942,1,-0.297303796,2.141660929,1.596419573,1,-0.120988362,1.99160552,1.086956739,1,-0.285861313,2.031569958,1.629261136,1,-0.205376625,1.880092502,0.757852018,1,-0.134699807,1.957750678,0.981010199,1,-0.295394033,2.19367671,0.008429579,1,-0.204086587,2.07465744,0.448283553,1,-0.33218044,2.137119293,0.945482075,1,-0.195144534,2.041512012,1.390693188,1,-0.203409716,2.055129528,0.583672166,1,-0.188813344,2.117140055,0.253896236,1,-0.255075723,1.989940763,0.026757581,1,-0.116781197,2.035362005,1.200154424,1,-0.228578374,1.917142391,0.844507575,1,-0.1440382,1.958546996,0.837724268,1,-0.549018204,2.181522369,0.05258394,1,-0.53123349,1.948790789,0.895018697,1,-0.477201909,2.206080437,1.306690216,1,-0.453161389,2.153543234,1.592398167,1,-0.661197364,2.070609331,1.086854696,1,-0.471769363,2.032645941,1.618550897,1,-0.653890491,1.994056225,0.740309477,1,-0.66878593,2.042443275,0.958578587,1,-0.474441141,2.206180811,0.010775045,1,-0.582970202,2.071450949,0.446699262,1,-0.442620456,2.145677805,0.94346714,1,-0.570120692,2.096637487,1.390637755,1,-0.592482924,2.012923717,0.711151242,1,-0.583730102,2.136007786,0.175919995,1,-0.578246474,2.028038502,0.029584514,1,-0.641870141,2.101660252,1.214797258,1,-0.59256053,2.001788378,0.82368809,1,-0.678590119,2.052868605,0.8343575,1,-0.399088085,1.930483699,1.194928288,1,-0.369494379,2.190255165,1.208217978,1
0.1,-0.373216063,2.158297062,1.426303267,1,-0.387821257,1.993160605,1.360915422,1,-0.236808896,2.142441034,0.061540302,1,-0.296889812,1.929578424,0.894566536,1,-0.2973831,2.14160037,1.596417427,1,-0.12089552,1.992349267,1.086756706,1,-0.285766631,2.031465769,1.629163027,1,-0.20483683,1.881211162,0.757398903,1,-0.134996057,1.958927393,0.980603099,1,-0.295408428,2.193679094,0.008424894,1,-0.204031304,2.074797392,0.448236346,1,-0.332268566,2.137202024,0.945513427,1,-0.195156664,2.04183197,1.390494108,1,-0.203315541,2.055324554,0.583621383,1,-0.188787892,2.117198467,0.253886133,1,-0.255088359,1.989939928,0.026757114,1,-0.116736658,2.035999537,1.200017571,1,-0.228112236,1.918016315,0.844057024,1,-0.143790767,1.959652781,0.837459862,1,-0.549034059,2.181483746,0.052575152,1,-0.531141043,1.948713899,0.894918859,1,-0.477377087,2.206026554,1.306666493,1,-0.453326672,2.153344393,1.592605233,1,-0.661051869,2.070299864,1.086662531,1,-0.471648782,2.032245636,1.618627667,1,-0.653511047,1.993695378,0.740168691,1,-0.66857332,2.042107821,0.9583987,1,-0.474476546,2.20618391,0.010785723,1,-0.582944751,2.071469545,0.446655124,1,-0.44275713,2.145663261,0.943561912,1,-0.57023412,2.096389532,1.390500188,1,-0.592398286,2.01281786,0.711048782,1,-0.583739042,2.136003971,0.175899297,1,-0.578232646,2.028039217,0.029589711,1,-0.641840339,2.101380348,1.214612484,1,-0.59215194,2.001552105,0.823527038,1,-0.678311944,2.052498341,0.834160805,1,-0.398958117,1.930633068,1.194792032,1,-0.369668782,2.190272093,1.208246231,1
0.12,-0.373375237,2.158274889,1.426301479,1,-0.387777835,1.993272305,1.360743642,1,-0.236804962,2.142451286,0.061512932,1,-0.296741813,1.929663062,0.894502461,1,-0.297480822,2.141487598,1.596426964,1,-0.12085887,1.993213534,1.08649683,1,-0.285689265,2.031315327,1.629050851,1,-0.204230338,1.882470727,0.756863594,1,-0.134214953,1.959658623,0.98040849,1,-0.294899613,2.193990231,0.008502394,1,-0.204018921,2.074926138,0.448183686,1,-0.33230719,2.137233973,0.945532858,1,-0.195312425,2.042107582,1.390243053,1,-0.203246236,2.05548501,0.5835554,1,-0.188806608,2.117266655,0.253853768,1,-0.255073279,1.989996433,0.026762357,1,-0.116712011,2.036677361,1.199796438,1,-0.227721825,1.91908288,0.843617201,1,-0.143404633,1.960820556,0.83715111,1,-0.549017191,2.181535959,0.052559491,1,-0.531025767,1.948620558,0.89483285,1,-0.477581769,2.205960035,1.306645393,1,-0.45336929,2.153001308,1.592725158,1,-0.660976768,2.070065022,1.08652544,1,-0.471585929,2.031898975,1.618674755,1,-0.653224826,1.993445277,0.740041554,1,-0.668391526,2.041854858,0.958242416,1,-0.474474043,2.206178427,0.010775656,1,-0.582928479,2.071519613,0.446636736,1,-0.442843378,2.145621061,0.943597198,1,-0.570406497,2.096255541,1.390416026,1,-0.592371345,2.012801647,0.710990965,1,-0.583765984,2.136027336,0.175906658,1,-0.578227937,2.028029442,0.029587215,1,-0.641857266,2.101144075,1.21446383,1,-0.591843903,2.001331806,0.823435783,1,-0.678037465,2.052227497,0.834006846,1,-0.398835033,1.930822253,1.194655657,1,-0.369849235,2.190303326,1.208270788,1
0.14,-0.373525381,2.158267975,1.426292419,1,-0.3877455,1.993374467,1.360572934,1,-0.236800924,2.142472506,0.061509274,1,-0.296623707,1.92975831,0.894429266,1,-0.297553033,2.141396046,1.596457601,1,-0.120810904,1.994017482,1.086207747,1,-0.285654902,2.031186581,1.628970742,1,-0.203760192,1.883680701,0.756300151,1,-0.13402766,1.960642815,0.980060101,1,-0.295383304,2.193694353,0.008421476,1,-0.203995362,2.075022697,0.448127359,1,-0.332322121,2.137256861,0.945525289,1,-0.195341736,2.042402506,1.390056729,1,-0.203161299,2.055624008,0.583467841,1,-0.188842833,2.117275953,0.253778189,1,-0.255114019,1.989993691,0.026753709,1,-0.11686641,2.037349224,1.199564695,1,-0.227370009,1.92019999,0.84312433,1,-0.143194348,1.96209693,0.836808145,1,-0.549041033,2.181515694,0.05253293,1,-0.530970335,1.948510051,0.894755125,1,-0.477758288,2.205936432,1.306630969,1,-0.453472376,2.152716637,1.592797637,1,-0.6609236,2.069864273,1.086407423,1,-0.471558124,2.0315938,1.618678331,1,-0.65290606,1.993196726,0.739956975,1,-0.668279827,2.041625023,0.95810014,1,-0.474517673,2.206195116,0.010754388,1,-0.582903504,2.071580887,0.446579278,1,-0.442898244,2.145548582,0.94361943,1,-0.57048136,2.096132994,1.39034903,1,-0.592271626,2.012794495,0.710936725,1,-0.583773017,2.136047363,0.175896883,1,-0.578244448,2.028041124,0.029601725,1,-0.641896069,2.100940466,1.214353323,1,-0.591591895,2.001177073,0.823338985,1,-0.677667141,2.052017212,0.833837807,1,-0.398728251,1.930850983,1.194542766,1,-0.370034903,2.190349817,1.208278298,1
0.16,-0.373679757,2.158258677,1.426293969,1,-0.387722135,1.993478417,1.360439658,1,-0.236768559,2.142464638,0.061510965,1,-0.296529204,1.929866791,0.894375324,1,-0.297690123,2.141279936,1.596502542,1,-0.120843887,1.994851351,1.0859375,1,-0.285683155,2.031021595,1.628903508,1,-0.203293443,1.885058641,0.755736232,1,-0.134381577,1.961836457,0.979602814,1,-0.29489556,2.194002867,0.008511054,1,-0.20395337,2.075057268,0.448065251,1,-0.332336158,2.137275457,0.94550246,1,-0.195379063,2.042662144,1.38986218,1,-0.203050837,2.055677414,0.583392084,1,-0.188815072,2.117259502,0.253746003,1,-0.255108237,1.98994565,0.026759559,1,-0.116790749,2.037992716,1.199331164,1,-0.227006152,1.921334028,0.842621088,1,-0.142837554,1.963380694,0.836449683,1,-0.549081266,2.181551456,0.052556571,1,-0.530886352,1.948418856,0.894682109,1,-0.477937162,2.2059021,1.306586623,1,-0.453654706,2.152510881,1.592890739,1,-0.660894156,2.069666386,1.086315274,1,-0.471562862,2.031306267,1.618641615,1,-0.652658463,1.992997408,0.739861906,1,-0.668143749,2.041430235,0.957986534,1,-0.474489212,2.206203222,0.010755085,1,-0.582880735,2.071606874,0.446537405,1,-0.442937911,2.145497561,0.943648279,1,-0.570559561,2.096029282,1.390285492,1,-0.592180014,2.012900114,0.71082139,1,-0.583772421,2.136068106,0.175887093,1,-0.578260899,2.028050423,0.029603863,1,-0.642081559,2.100798845,1.214249969,1,-0.591417432,2.00108099,0.823265314,1,-0.677520216,2.051846027,0.833725929,1,-0.398634166,1.930986166,1.194439292,1,-0.370194376,2.190394878,1.208306313,1
0.18,-0.373881996,2.158268929,1.426318169,1,-0.387699574,1.993578196,1.360283494,1,-0.236745268,2.14247036,0.061510667,1,-0.296399683,1.929958224,0.89432466,1,-0.297812849,2.141106844,1.596572399,1,-0.120776683,1.995672941,1.085657239,1,-0.28570646,2.030866861,1.628891826,1,-0.202766404,1.886566401,0.755135894,1,-0.134257182,1.962945104,0.979237914,1,-0.295352906,2.193687677,0.008428323,1,-0.203894496,2.075107098,0.448047191,1,-0.332390755,2.137338161,0.945487261,1,-0.195377991,2.042928219,1.389655709,1,-0.203010157,2.055757284,0.583329976,1,-0.188785851,2.117291451,0.253727049,1,-0.255105436,1.990007877,0.026764723,1,-0.116859116,2.038652182,1.199122906,1,-0.226714805,1.922504425,0.842093825,1,-0.142579675,1.964680314,0.836068213,1,-0.549083531,2.181551456,0.052548032,1,-0.530812025,1.948325992,0.894613922,1,-0.478078961,2.205890894,1.306539774,1,-0.453448415,2.152298927,1.592961669,1,-0.660930395,2.069531441,1.086221457,1,-0.471591711,2.031069756,1.618609071,1,-0.65252161,1.992895365,0.739777863,1,-0.668142319,2.041296721,0.957897365,1,-0.474507898,2.206209898,0.010756258,1,-0.582853556,2.071601868,0.446517736,1,-0.443005741,2.145471811,0.94362849,1,-0.570609987,2.095952272,1.390172243,1,-0.592125058,2.012774944,0.710806191,1,-0.583786905,2.136078835,0.175876111,1,-0.578245997,2.028064013,0.029603662,1,-0.642128587,2.100664139,1.214188814,1,-0.591302991,2.001062632,0.823183239,1,-0.677501619,2.051697731,0.833625615,1,-0.398554683,1.931123972,1.19434011,1,-0.370359749,2.190455198,1.208313942,1
